"E10.5"	"E11.5"	"E12.5"	"E13.5"	"E14.5"	"E15.5"	"E16.5"
"Focad"	0.278925902078118	-0.155296900028965	-0.182480900335641	-0.352937963694135	-0.198844798489553	-0.481761551379535	-0.599986890070483
"Setx"	0.175491301761166	-0.141346174976446	0.0150593783515731	-0.0992542096826394	-0.193808773622893	-0.154503754387752	-0.220074176723166
"Shroom2"	0.104062683685001	0.054754968596967	0.0303391900877337	-0.0252344607091892	-0.0543815733237274	-0.0856542209778155	-0.175589720255648
"Dnajc25"	-0.0168759007878556	-0.0362566671859739	-0.0107133297392359	0.0128635475119836	0.0838891018133339	-0.0881255046534832	-0.0328710836999342
"Cntln"	0.289182329970821	0.255179160675446	0.481305029424204	0.302622550035682	0.408890811450682	0.264616361501979	0.482582518739184
"Mllt3"	-0.0658909679414599	-0.448729115597796	-0.539264747088243	-0.578773093393266	-0.888990655011153	-0.992110222925973	-1.00211731579596
"Cavin4"	-0.222202031847779	0.0091635706758133	0.382723059167027	0.557572417812032	0.859716453806488	2.10117306480679	3.06229853603002
"Ndufaf8"	0.55946922644798	0.683018446583869	0.82103310034103	0.959250846836294	1.03918623386541	1.06915255228946	1.12638552134227
"Ubr4"	0.0804623925175427	0.0168164857886417	0.130783920751313	0.0947421816355813	0.0934760369377585	0.123354878451931	0.0910537719766396
"Tpx2"	-0.368891754215706	-0.580190626987505	-0.75179461856176	-0.887638348503238	-1.07817644955059	-1.13657726346027	-1.34320884716465
"Fmnl2"	-0.148964278191826	-0.388684474304144	-0.457663972861257	-0.537318124700928	-0.515556546357727	-0.553019183030463	-0.531060049757597
"Ndufaf5"	0.26116144963385	0.423117394728649	0.476841208592869	0.567478570156773	0.669361201181221	0.72202845964712	0.748579168678777
"Tubb1"	1.13129836780034	1.28488388726629	2.43201472003831	1.92231983654305	1.59298333222956	1.63899999771355	1.60034386865203
"Rtf1"	0.106092051073841	0.126037005983548	0.198569179110972	0.174890273411936	0.0449003161139707	0.079628335960038	-0.0174565891686882
"Skt"	-0.358206802441167	-0.674782379576165	-0.625283301394305	-0.715492498615628	-0.788498517613625	-0.744160610343069	-0.735429647038121
"Ppig"	-0.620485634585535	-0.68060615603228	-0.721664831085572	-0.806617310154515	-0.893311122553154	-0.971610621501192	-1.1005203214104
"Itga8"	0.161385559052832	0.533719770273134	1.1759700244326	1.2933013648594	1.44036143922142	1.63210496176517	1.57875549303668
"Lgr4"	-0.407425563778499	-0.392402208658407	-0.997837807191086	-0.555691642013716	-0.643847351393543	-0.407518999405063	-1.15037138586079
"Lrp2"	0.223527569542423	0.422956867954372	0.553790959698031	0.533999205677304	0.436851285652752	0.240142546546812	0.230962274167673
"Agrn"	-0.384182309174133	-0.326733171646108	-0.237198907683911	-0.148461921124266	-0.14664516033698	-0.255574780872887	-0.323111654004613
"Ttn"	-0.122137434757938	-0.167747452957038	-0.289463471572983	-0.202242181995771	-0.165108308998299	-0.125664703002425	0.0133070422187274
"Slc25a25"	-0.112106050900575	-0.325928659070637	-0.163880824837902	-0.387258180863014	-0.411126720785051	-0.6326103047143	-0.618959680718216
"Klhl41"	0.82166378573876	1.2027772637724	1.464102659092	1.57986108295399	1.7999376625064	1.99410540067786	2.30141717392791
"Cep152"	-0.202459002915887	-0.379355665967399	-0.352256198232961	-0.571391652765447	-0.485256721164001	-0.59203334478193	-0.458675548953483
"Svep1"	-0.216884324477196	-0.501178045817291	-0.468773272488397	-0.377552947193122	-0.392079252792255	-0.440074244437119	-0.467644858284654
